Temperatura,Personas,Electrodomesticos,Consumo_kWh
18.96226151394387,,16.0,48.21951722604708
21.369317926967877,1.0,9.0,34.88209487471097
18.576968206476824,5.0,17.0,65.22744893538861
26.64357374296727,4.0,20.0,72.5106953965268
12.777994829748609,3.0,9.0,36.683859865307504
19.664987879614458,1.0,11.0,38.8091987915829
33.46245171575775,3.0,18.0,74.27243799881195
24.44405027197789,3.0,10.0,48.84201647826235
25.551334953303318,3.0,8.0,40.8983055520216
27.27767221612075,2.0,18.0,
,3.0,14.0,
23.289767081709858,1.0,9.0,35.63024529415942
24.941408248515884,1.0,7.0,36.05727155812651
26.42622119306322,,11.0,52.76019750958416
16.914964878965534,3.0,10.0,
21.331534843583363,3.0,,55.19502386127102
19.8090724933383,5.0,7.0,46.66607765772061
24.467217472140856,2.0,,54.38612010056521
21.004954400758432,4.0,14.0,57.54552433773236
15.625081963389265,5.0,8.0,39.99495106482187
23.467470772189365,1.0,15.0,47.36098460597793
22.54475155913331,2.0,6.0,34.92725674734449
22.158633929295174,,7.0,43.388588207150015
28.36319931514729,4.0,8.0,51.02124457491565
27.357239497236808,1.0,7.0,36.28875714287762
24.07909006079287,5.0,5.0,46.18070558372954
29.753396156884317,3.0,11.0,55.491855056669486
20.443105415848592,4.0,7.0,39.794494749678336
15.103800463211265,2.0,6.0,27.11951672723125
28.857043933382748,4.0,9.0,56.15599256374195
22.138558261402398,4.0,14.0,59.45503240443552
20.39800211628201,3.0,15.0,53.35474205573145
17.769147974584307,1.0,8.0,32.915116445516475
19.83285540296888,1.0,6.0,27.032364519228587
15.314827480743006,2.0,5.0,29.18650809098585
23.045860853367376,2.0,10.0,44.1418950550903
,4.0,10.0,44.7943270276589
19.2326157362969,2.0,18.0,51.660668141997185
22.373993219821,2.0,10.0,40.42388537049238
19.47190083265208,2.0,8.0,36.94960773600652
27.262038919342963,5.0,10.0,51.86472142257475
26.857002038447945,2.0,15.0,52.49462688799866
22.384157689994552,4.0,9.0,49.851377093870745
19.82499612447233,2.0,6.0,36.083564269976605
24.764971990421856,3.0,6.0,45.62492321681733
23.33358153015941,5.0,,74.84760513682136
22.044947041887784,,19.0,137.62779079345768
25.20551376374577,4.0,9.0,53.67760724322148
21.11146421167487,2.0,5.0,38.06448257720112
25.481388058193012,1.0,11.0,42.45613471469929
16.056374517189166,3.0,17.0,54.053037752447636
20.341515723136162,3.0,10.0,47.003007327626946
22.150380690621677,4.0,15.0,51.368078980973756
16.460424139453288,5.0,17.0,56.67707260175996
19.2503755092613,1.0,12.0,34.57794949673921
11.835452203707254,4.0,16.0,48.62244396594779
,3.0,9.0,50.9733906828709
25.165541317002212,5.0,6.0,47.35397654941132
33.06373442683312,4.0,15.0,67.19277838259855
19.36698860638285,2.0,5.0,27.274295964901523
24.714408393721378,1.0,20.0,60.53178880127468
21.577601479702107,4.0,10.0,47.96916141250199
28.460075077155494,2.0,6.0,43.22730424759303
21.116447154864673,3.0,10.0,46.64141307606905
,2.0,19.0,61.56834945589424
16.76693228806793,4.0,12.0,47.3851220190108
,3.0,7.0,45.018889843859995
,3.0,18.0,59.619055072125754
16.439675126690556,3.0,15.0,58.32599546240614
21.89648609197367,1.0,10.0,40.74852569128775
12.932391129697063,3.0,20.0,56.91504391185898
23.017609466487954,2.0,19.0,53.99008242511659
